source,identifier,title,abstract,subjects
Springer,10.1038/s41586-024-08222-1,Gut microbiome strain-sharing within isolated village social networks,"When humans assemble into face-to-face social networks, they create an extended social environment that permits exposure to the microbiome of others, thereby shaping the composition and diversity of the microbiome at individual and population levels^ 1 – 6 . Here we use comprehensive social network mapping and detailed microbiome sequencing data in 1,787 adults within 18 isolated villages in Honduras^ 7 to investigate the relationship between network structure and gut microbiome composition. Using both species-level and strain-level data, we show that microbial sharing occurs between many relationship types, notably including non-familial and non-household connections. Furthermore, strain-sharing extends to second-degree social connections, suggesting the relevance of a person’s broader network. We also observe that socially central people are more microbially similar to the overall village than socially peripheral people. Among 301 people whose microbiome was re-measured 2 years later, we observe greater convergence in strain-sharing in connected versus otherwise similar unconnected co-villagers. Clusters of species and strains occur within clusters of people in village social networks, meaning that social networks provide the social niches within which microbiome biology and phenotypic impact are manifested. An investigation into the relationship between network structure and gut microbiome composition among people living in 18 isolated Honduras villages reveals that strain-sharing can be mediated by complex, village-wide social interactions.","['Science, Humanities and Social Sciences, multidisciplinary', 'Science, Humanities and Social Sciences, multidisciplinary', 'Science, multidisciplinary', 'Life Sciences', 'Physical Sciences', 'Technology and Engineering', 'Mathematics and Computing', 'Humanities and Social Sciences']"
Springer,10.1007/978-981-97-6095-4_3,Cases,"The case illustrates that the patentee’s possibilities to avoid exhaustion by tailoring the patent claims are limited. It is generally up to the patentee to define the product for which he claims protection. As long as the patent covers products which are available on the market, the patentee’s decision may be relevant for the question of exhaustion.","['Law', 'Private International Law, International & Foreign Law, Comparative Law', 'IT Law, Media Law, Intellectual Property', 'History of China', 'Private International Law, International and Foreign Law, Comparative Law', 'IT Law, Media Law, Intellectual Property', 'History of China']"
Springer,10.1007/978-3-031-61194-0_1,Introduction,"The IEA International Computer and Information Literacy Study (ICILS) investigates the capacities of young people to use information and communications technology (ICT) productively for a range of different purposes, in ways that go beyond a basic use of ICT. ICILS 2023 includes authentic computer? Based assessments that are administered to students in their eighth year of schooling. These generate data reflecting two dimensions of ICT? Related capacities: computer and information literacy (CIL); and computational thinking (CT). This chapter describes the place of ICILS as part of the history of IEA studies, the relationship between ICT and educational processes, as well as factors related to the pedagogical use of ICT, since the late? 1980s. The relevance of ICILS to supranational policy development and monitoring (such as by the United Nations and the European Commission) monitoring of digital skills) is discussed, as are national policy and program initiatives in CIL and CT education in ICILS countries. The chapter further includes a summary recent research publications using ICILS data. The chapter concludes with summary information describing the ICILS study design, including the study research questions, new areas of focus in the study and the target population definitions and sampling procedures.","['Education', 'Education, general', 'International and Comparative Education', 'Digital Education and Educational Technology', 'Assessment and Testing', 'International and Comparative Education']"
Springer,10.1007/978-3-031-71177-0_24,A Pyramid Of (Formal) Software Verification,"Over the past few years there has been significant progress in the various fields of software verification resulting in many useful tools and successful deployments, both academic and commercial. However much of the work describing these tools and ideas is written by and for the research community. The scale, diversity and focus of the literature can act as a barrier, separating industrial users and the wider academic community from the tools that could make their work more efficient, more certain and more productive. This tutorial gives a simple classification of verification techniques in terms of a pyramid and uses it to describe the six main schools of verification technologies. We have found this approach valuable for building collaborations with industry as it allows us to explain the intrinsic strengths and weaknesses of techniques and pick the right tool for any given industrial application. The model also highlights some of the cultural differences and unspoken assumptions of different areas of verification and illuminates future directions.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-3-031-61194-0_3,Computational Thinking Framework,"The International Computer and Information Literacy Study (ICILS) 2023 computational thinking (CT) framework delves into the evolving concept of CT within the context of educational curricula. The chapter traces the history of CT, from its early conceptualizations focusing on logical reasoning and programming, to the advent of block-based coding platforms like Scratch and Blockly, which have made coding more accessible. It also discusses the integration of CT in the International Computer and Information Literacy Study (ICILS) and the development of an internationally comparable CT scale. The chapter further explores the differing perspectives on CT, ranging from viewing it as a subset of computer science to recognizing its broader problem-solving applications. We present and discuss various definitions of CT and the constituent components identified in the literature, underscoring the diversity of interpretations and representations of CT.The framework for ICILS 2023 CT is presented in detail, including its structure, strands, aspects, and the underlying rationale. We emphasize the importance of understanding and framing real-world problems for computational formulation, alongside the development of algorithmic solutions operationalizable by computers. The chapter concludes with insights into the future directions of CT assessment and its potential implications for educational practices and policies.","['Education', 'Education, general', 'International and Comparative Education', 'Digital Education and Educational Technology', 'Assessment and Testing', 'International and Comparative Education']"
Springer,10.1007/978-981-97-6915-5_6,GigaVision: When Computer Vision Meets Gigapixel Videography,"In previous chapters, we have explored advanced plenoptic imaging and reconstruction techniques, enabling images and videos to reach gigapixel-level resolution. This breakthrough unlocks new possibilities for a wide range of applications and industries. However, traditional computer vision methods, tailored for megapixel-level data, are ill-equipped to handle the complexities of gigapixel-level data, which often feature large-scale scenes with hundreds of objects and intricate interactions. As a result, these methods face significant limitations in both precision and efficiency.","['Computer Science', 'Image Processing and Computer Vision', 'Computer Imaging, Vision, Pattern Recognition and Graphics', 'Signal, Image and Speech Processing', 'Materials Science, general', 'Computer Vision', 'Image Processing', 'Imaging Techniques']"
Springer,10.1007/978-981-97-6915-5_5,Toward Large-Scale Plenoptic Reconstruction,Reconstructing real-world scenes with unparalleled levels of realism and detail has been a long-standing goal in the fields of computer vision and graphics. Achieving this goal necessitates coordinated efforts in both sensing techniques and plenoptic reconstruction algorithms.,"['Computer Science', 'Image Processing and Computer Vision', 'Computer Imaging, Vision, Pattern Recognition and Graphics', 'Signal, Image and Speech Processing', 'Materials Science, general', 'Computer Vision', 'Image Processing', 'Imaging Techniques']"
Springer,10.1007/978-3-031-71177-0_32,The Java Verification Tool KeY:A Tutorial,"The KeY tool is a state-of-the-art deductive program verifier for the Java language. Its verification engine is based on a sequent calculus for dynamic logic, realizing forward symbolic execution of the target program, whereby all symbolic paths through a program are explored. Method contracts make verification scalable. KeY combines auto-active and fine-grained proof interaction, which is possible both at the level of the verification target and its specification, as well as at the level of proof rules and program logic. This makes KeY well-suited for teaching program verification, but also permits proof debugging at the source code level. The latter made it possible to verify some of the most complex Java code to date. The article provides a self-contained introduction to the working principles and the practical usage of KeY for anyone with basic knowledge in logic and formal methods.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-3-031-71162-6_11,Efficient Formally Verified Maximal End Component Decomposition for MDPs,"Identifying a Markov decision process’s maximal end components is a prerequisite for applying sound probabilistic model checking algorithms. In this paper, we present the first mechanized correctness proof of a maximal end component decomposition algorithm, which is an important algorithm in model checking, using the Isabelle/HOL theorem prover. We iteratively refine the high-level algorithm and proof into an imperative LLVM bytecode implementation that we integrate into the Modest Toolset ’s existing mcsta model checker. We bring the benefits of interactive theorem proving into practice by reducing the trusted code base of a popular probabilistic model checker and we experimentally show that our new verified maximal end component decomposition in mcsta performs on par with the tool’s previous unverified implementation.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-3-031-71162-6_33,Parameterized Verification of Round-Based Distributed Algorithms via Extended Threshold Automata,"Threshold automata are a computational model that has proven to be versatile in modeling threshold-based distributed algorithms and enabling their completely automatic parameterized verification. We present novel techniques for the verification of threshold automata, based on well-structured transition systems, that allow us to extend the expressiveness of both the computational model and the specifications that can be verified. In particular, we extend the model to allow decrements and resets of shared variables, possibly on cycles, and the specifications to general coverability. While these extensions of the model in general lead to undecidability, our algorithms provide a semi-decision procedure. We demonstrate the benefit of our extensions by showing that we can model complex round-based algorithms such as the phase king consensus algorithm and the Red Belly Blockchain protocol (published in 2019), and verify them fully automatically for the first time.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-3-031-60931-2_1,From Science to Society: The Open Science and Innovation and Network Approach,"Public investment in fundamental scientific research generates societal benefits (Mazzucato in Public Aff, 2018 [ 1 ]; Barrett et al. in Why basic science matters for economic growth. Public investment in basic research will pay for itself. International Monetary Fund Blog, 2011 [ 2 ]; Zuniga and Wunsch-Vincent in Harnessing the benefits of publicly-funded research. WIPO Magazine, 2012 [ 3 ]; Adams in Calif Manage Rev 48(1):29–51, 2005 [ 4 ]; European Physical Society in Physics and the economy. Report. Centre for Economics and Business Research, 2019 [ 5 ]). At first sight it seems counterintuitive that public funding of a curiosity driven activity that does not address immediate societal challenges or urgent needs can produce wealth and be even long-term sustainable. We are rather tempted to argue that on the contrary, only applied research and targeted investments such as for instance addressing climate change, advancing microelectronics, increasing the effectiveness of battery-based energy storage or the developments of space technologies can satisfy this criterion. It is important to engage both, public and private funds to address such challenges, but science is a key ingredient to come up with the truly disruptive solutions. The funds required to address grand challenges call for globally concerted approaches over several decades with effects that will become only visible after several generations. Funding alone will, however, not be sufficient to effectively respond to societal challenges. Looking at the private sector, it turns out that a significant share of high-tech companies are ultimately results of initial public funding for curiosity driven scientific research.","['Physics', 'Particle and Nuclear Physics', 'Economic Growth', 'Investment Appraisal', 'Data Structures and Information Theory', 'Artificial Intelligence', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Nuclear and Particle Physics', 'Economic Development, Innovation and Growth', 'Investment Appraisal', 'Data Science', 'Space Physics', 'Measurement Science and Instrumentation']"
Springer,10.1007/978-3-031-72848-8_6,MART: MultiscAle Relational Transformer Networks for Multi-agent Trajectory Prediction,"Multi-agent trajectory prediction is crucial to autonomous driving and understanding the surrounding environment. Learning-based approaches for multi-agent trajectory prediction, such as primarily relying on graph neural networks, graph transformers, and hypergraph neural networks, have demonstrated outstanding performance on real-world datasets in recent years. However, the hypergraph transformer-based method for trajectory prediction is yet to be explored. Therefore, we present a M ultisc A le R elational T ransformer ( MART ) network for multi-agent trajectory prediction. MART is a hypergraph transformer architecture to consider individual and group behaviors in transformer machinery. The core module of MART is the encoder, which comprises a Pair-wise Relational Transformer (PRT) and a Hyper Relational Transformer (HRT). The encoder extends the capabilities of a relational transformer by introducing HRT, which integrates hyperedge features into the transformer mechanism, promoting attention weights to focus on group-wise relations. In addition, we propose an Adaptive Group Estimator (AGE) designed to infer complex group relations in real-world environments. Extensive experiments on three real-world datasets (NBA, SDD, and ETH-UCY) demonstrate that our method achieves state-of-the-art performance, enhancing ADE/FDE by 3.9%/11.8% on the NBA dataset. Code is available at https://github.com/gist-ailab/MART .","['Computer Science', 'Computer Imaging, Vision, Pattern Recognition and Graphics', 'Signal, Image and Speech Processing', 'Computer Communication Networks', 'User Interfaces and Human Computer Interaction', 'Machine Learning', 'Special Purpose and Application-Based Systems', 'Computer Imaging, Vision, Pattern Recognition and Graphics', 'Image Processing', 'Computer Communication Networks', 'User Interfaces and Human Computer Interaction', 'Machine Learning', 'Special Purpose and Application-Based Systems']"
Springer,10.1007/978-3-031-73257-7_16,Large and Parallel Human Sorting Networks,"This paper presents two innovative extensions of the classic Human Sorting Network (HSN) activity from the CS Unplugged program. First, we describe the implementation of a large-scale HSN with 50 input nodes, realized with high school students in Vienna, Austria. We detail the logistical challenges and solutions for creating an HSN of this magnitude, including location selection, network layout, and participant coordination. Second, we report on using parallel 6-input HSNs, which introduce a competitive element and enhance engagement. This parallel setup allows for races between teams and can be adapted for various age groups and knowledge levels. Both extensions aim to increase the educational impact and enjoyment of the HSN activity. We provide comprehensive insights into our experiences, enabling other educators and researchers to replicate or further develop these HSN variants.","['Computer Science', 'Computer Science, general', 'Mathematics of Computing', 'Computer Applications', 'Computers and Education', 'Computer Science', 'Mathematics of Computing', 'Computer and Information Systems Applications', 'Computers and Education']"
Springer,10.1007/978-3-031-71177-0_14,Reusable Specification Patterns for Verification of Resilience in Autonomous Hybrid Systems,"Autonomous hybrid systems are systems that combine discrete and continuous behavior with autonomous decision-making, e.g., using reinforcement learning. Such systems are increasingly used in safety-critical applications such as self-driving cars, autonomous robots or water supply systems. Thus, it is crucial to ensure their safety and resilience, i.e., that they function correctly even in the presence of dynamic changes and disruptions. In this paper, we present an approach to obtain formal resilience guarantees for autonomous hybrid systems using the interactive theorem prover KeYmaera X. Our key ideas are threefold: First, we derive a formalization of resilience that is tailored to autonomous hybrid systems. Second, we present reusable patterns for modeling stressors, detecting disruptions, and specifying resilience as a service level response in the differential dynamic logic (d $$\mathcal {L}$$ L ). Third, we combine these concepts with an existing approach for the safe integration of learning components using hybrid contracts, and extend it towards dynamic adaptations to stressors. By combining reusable patterns for stressors, observers, and adaptation contracts for learning components, we provide a systematic approach for the deductive verification of resilience of autonomous hybrid systems with reduced specification effort. We demonstrate the applicability of our approach with two case studies, an autonomous robot and an intelligent water distribution system.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-3-031-71177-0_31,Satisfiability Modulo Theories: A Beginner’s Tutorial,"Great minds have long dreamed of creating machines that can function as general-purpose problem solvers. Satisfiability modulo theories (SMT) has emerged as one pragmatic realization of this dream, providing significant expressive power and automation. This tutorial is a beginner’s guide to SMT. It includes an overview of SMT and its formal foundations, a catalog of the main theories used in SMT solvers, and illustrations of how to obtain models and proofs. Throughout the tutorial, examples and exercises are provided as hands-on activities for the reader. They can be run using either Python or the SMT-LIB language, using either the cvc5 or the Z3 SMT solver.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Logics and Meanings of Programs', 'Special Purpose and Application-Based Systems', 'Professional Computing', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)', 'Software Engineering', 'Computer Science Logic and Foundations of Programming', 'Special Purpose and Application-Based Systems', 'Programming Language', 'Control Structures and Microprogramming', 'Natural Language Processing (NLP)']"
Springer,10.1007/978-981-97-6915-5_4,Plenoptic Reconstruction,"Empowered by advanced plenoptic sensing systems, light-field imaging becomes one of the most extensively used methods for capturing 3D views of a scene. In contrast to the traditional input to a 3D graphics system, namely, scenes consisting of pre-defined geometric primitives with different materials and sets of lights, the input to a light field is only a set of 2D images which are informative and cost effective. Unfortunately, due to the limited sensor resolution, existing systems must balance the spatial and angular resolution, i.e., one can obtain dense sampling images in the spatial dimension but only sparse sampling images in the angular (viewing angle) dimension or vice versa.","['Computer Science', 'Image Processing and Computer Vision', 'Computer Imaging, Vision, Pattern Recognition and Graphics', 'Signal, Image and Speech Processing', 'Materials Science, general', 'Computer Vision', 'Image Processing', 'Imaging Techniques']"
